#{"t_start": 1761576449.4221244, "env_id": "None"}
r,l,t
-469.0,32,3.06384
-466.0,35,3.100214
-470.0,31,3.124515
-468.0,33,3.157097
-470.0,31,3.189709
-470.0,31,3.222798
-467.0,34,3.253677
-469.0,32,3.285107
-469.0,32,3.318901
-469.0,32,3.342905
-470.0,31,3.376013
-466.0,35,3.420257
-469.0,32,3.451887
-470.0,31,3.480273
-466.0,35,3.514799
-469.0,32,3.546411
-469.0,32,3.575508
-469.0,32,3.604779
-468.0,33,3.643964
-470.0,31,3.684186
-468.0,33,3.740824
-468.0,33,3.782085
-467.0,34,3.83981
-470.0,31,3.87487
-468.0,33,3.914124
-470.0,31,3.956528
-469.0,32,3.99758
-469.0,32,4.033615
-469.0,32,4.068537
-469.0,32,4.103364
-469.0,32,4.1363
-468.0,33,4.734167
-469.0,32,4.767159
-470.0,31,4.803235
-468.0,33,4.841001
-469.0,32,4.87789
-470.0,31,4.91819
-469.0,32,4.953952
-470.0,31,4.990938
-470.0,31,5.022263
-468.0,33,5.062136
-468.0,33,5.096074
-469.0,32,5.128065
-470.0,31,5.159469
-468.0,33,5.192561
-467.0,34,5.225771
-469.0,32,5.263762
-468.0,33,5.299546
-469.0,32,5.335561
-468.0,33,5.369229
-469.0,32,5.404953
-461.0,40,5.451984
-470.0,31,5.484088
-467.0,34,5.521013
-466.0,35,5.569996
-465.0,36,5.626173
-467.0,34,5.671957
-469.0,32,5.710446
-466.0,35,5.757448
-469.0,32,5.797284
-468.0,33,5.839735
-466.0,35,5.883854
-467.0,34,6.719616
-468.0,33,6.760542
-470.0,31,6.803751
-467.0,34,6.847969
-468.0,33,6.90311
-469.0,32,6.955345
-466.0,35,7.009232
-469.0,32,7.056401
-469.0,32,7.103812
-470.0,31,7.141207
-469.0,32,7.183348
-468.0,33,7.226233
-468.0,33,7.27545
-469.0,32,7.332884
-470.0,31,7.368341
-469.0,32,7.404862
-469.0,32,7.438683
-469.0,32,7.471466
-470.0,31,7.506062
-470.0,31,7.539119
-464.0,37,7.577602
-469.0,32,7.61693
-470.0,31,7.655396
-470.0,31,7.692771
-469.0,32,7.728836
-470.0,31,7.775705
-470.0,31,7.84052
-470.0,31,7.907726
-463.0,38,7.95805
-468.0,33,7.995545
-470.0,31,8.033077
-470.0,31,8.068756
-464.0,37,8.669066
-470.0,31,8.705893
-430.0,71,8.809724
-470.0,31,8.858298
-450.0,51,8.938228
-431.0,70,9.042365
-470.0,31,9.083173
-470.0,31,9.118721
-470.0,31,9.159901
-470.0,31,9.192734
-440.0,61,9.263904
-470.0,31,9.30219
-425.0,76,9.388705
-424.0,77,9.469846
-453.0,48,9.525007
-470.0,31,9.559155
-470.0,31,9.598585
-470.0,31,9.626593
-451.0,50,9.68813
-470.0,31,9.721697
-470.0,31,9.753973
-452.0,49,9.807667
-470.0,31,9.851342
-405.0,96,10.481288
-422.0,79,10.549519
-427.0,74,10.621993
-405.0,96,10.734354
-431.0,70,10.804198
-411.0,90,10.898469
-419.0,82,10.969285
-428.0,73,11.03847
-408.0,93,11.131476
-430.0,71,11.191813
-412.0,89,11.268557
-434.0,67,11.339267
-421.0,80,11.404006
-409.0,92,12.088178
-419.0,82,12.232553
-421.0,80,12.32361
-414.0,87,12.427802
-422.0,79,12.54999
-405.0,96,12.652325
-409.0,92,12.759283
-408.0,93,12.855202
-410.0,91,12.968065
-405.0,96,13.100318
-414.0,87,13.194807
-416.0,85,13.858831
-470.0,31,13.897065
-470.0,31,13.93361
-415.0,86,14.024201
-407.0,94,14.117757
-470.0,31,14.148282
-470.0,31,14.179908
-408.0,93,14.272902
-405.0,96,14.389097
-470.0,31,14.422941
-426.0,75,14.498015
