#{"t_start": 1761578750.4681647, "env_id": "None"}
r,l,t
-466.0,35,1.985187
-467.0,34,2.025664
-469.0,32,2.055283
-467.0,34,2.089377
-466.0,35,2.120681
-468.0,33,2.15062
-470.0,31,2.176788
-470.0,31,2.20293
-467.0,34,2.233937
-469.0,32,2.262254
-469.0,32,2.290904
-469.0,32,2.31839
-468.0,33,2.346228
-467.0,34,2.372617
-467.0,34,2.401619
-468.0,33,2.42859
-468.0,33,2.455839
-469.0,32,2.483445
-469.0,32,2.509703
-468.0,33,2.540748
-466.0,35,2.57171
-461.0,40,2.610168
-470.0,31,2.643532
-469.0,32,2.67416
-466.0,35,2.704153
-469.0,32,2.736312
-464.0,37,2.774318
-467.0,34,2.807522
-469.0,32,2.84007
-466.0,35,2.870381
-470.0,31,2.902874
-470.0,31,2.932617
-468.0,33,2.962322
-468.0,33,2.988865
-469.0,32,3.017705
-465.0,36,3.049536
-469.0,32,3.077896
-467.0,34,3.108934
-465.0,36,3.137902
-468.0,33,3.166696
-463.0,38,3.198749
-469.0,32,3.228566
-469.0,32,3.25669
-469.0,32,3.283847
-467.0,34,3.313935
-468.0,33,3.348082
-468.0,33,3.37614
-464.0,37,3.407361
-468.0,33,3.434672
-461.0,40,3.471804
-466.0,35,3.502331
-469.0,32,3.530525
-469.0,32,3.559403
-468.0,33,3.589775
-468.0,33,3.627278
-469.0,32,3.672448
-469.0,32,3.711344
-467.0,34,3.753364
-467.0,34,3.835197
-467.0,34,3.882367
-467.0,34,3.912723
-467.0,34,6.280497
-469.0,32,6.31081
-467.0,34,6.34175
-469.0,32,6.374826
-468.0,33,6.404438
-461.0,40,6.440061
-468.0,33,6.470143
-464.0,37,6.505291
-468.0,33,6.533478
-469.0,32,6.561568
-465.0,36,6.597126
-466.0,35,6.63327
-463.0,38,6.67379
-468.0,33,6.708145
-468.0,33,6.743684
-469.0,32,6.769644
-466.0,35,6.804232
-468.0,33,6.833776
-468.0,33,6.871573
-466.0,35,6.90539
-469.0,32,6.935048
-468.0,33,6.970007
-468.0,33,7.001438
-468.0,33,7.032436
-469.0,32,7.081596
-465.0,36,7.111883
-467.0,34,7.143593
-467.0,34,7.175237
-468.0,33,7.206107
-468.0,33,7.241546
-468.0,33,7.273013
-467.0,34,7.300545
-468.0,33,7.329304
-467.0,34,7.35822
-469.0,32,7.385855
-462.0,39,7.418776
-467.0,34,7.44688
-465.0,36,7.476814
-469.0,32,7.503974
-468.0,33,7.531267
-469.0,32,7.55841
-464.0,37,7.588984
-469.0,32,7.616024
-465.0,36,7.647348
-466.0,35,7.676592
-469.0,32,7.703477
-468.0,33,7.730726
-467.0,34,7.762561
-468.0,33,7.79004
-468.0,33,7.81559
-464.0,37,7.85038
-468.0,33,7.877966
-464.0,37,7.9148
-469.0,32,7.945751
-466.0,35,7.976698
-460.0,41,8.011822
-467.0,34,8.039193
-469.0,32,8.064697
-467.0,34,8.090655
-469.0,32,8.121643
-468.0,33,10.363861
-465.0,36,10.399122
-468.0,33,10.43126
-464.0,37,10.465811
-467.0,34,10.500697
-463.0,38,10.538139
-463.0,38,10.577185
-466.0,35,10.615211
-466.0,35,10.651276
-467.0,34,10.684242
-467.0,34,10.71664
-464.0,37,10.757286
-464.0,37,10.794949
-469.0,32,10.827003
-464.0,37,10.861665
-468.0,33,10.890409
-467.0,34,10.921374
-465.0,36,10.952116
-468.0,33,10.985036
-465.0,36,11.018075
-467.0,34,11.049161
-462.0,39,11.088737
-461.0,40,11.129007
-466.0,35,11.162853
-467.0,34,11.19759
-464.0,37,11.242975
-468.0,33,11.278708
-465.0,36,11.31965
-466.0,35,11.354729
-463.0,38,11.389972
-467.0,34,11.42323
-463.0,38,11.458456
-466.0,35,11.491165
-469.0,32,11.519262
-468.0,33,11.549148
-461.0,40,11.584404
-469.0,32,11.613417
-464.0,37,11.654631
-465.0,36,11.689768
-465.0,36,11.723298
-468.0,33,11.756475
-461.0,40,11.799303
-466.0,35,11.841538
-462.0,39,11.87916
-467.0,34,11.910959
-464.0,37,11.944401
-465.0,36,11.981443
-464.0,37,12.018994
-467.0,34,12.051374
-469.0,32,12.081326
-468.0,33,12.114629
-470.0,31,12.1439
-467.0,34,12.17732
-460.0,41,12.214518
-467.0,34,12.247494
-460.0,41,12.284509
-464.0,37,12.316842
-464.0,37,12.346371
-453.0,48,14.458843
-467.0,34,14.486732
-460.0,41,14.51747
-413.0,88,14.596394
-450.0,51,14.640845
-405.0,96,14.723924
-455.0,46,14.762591
-469.0,32,14.788915
-458.0,43,14.826473
-464.0,37,14.856791
-463.0,38,14.891337
-466.0,35,14.925858
-468.0,33,14.957936
-449.0,52,15.025366
-431.0,70,15.0967
-459.0,42,15.150309
-465.0,36,15.194018
-461.0,40,15.278592
-459.0,42,15.332606
-459.0,42,15.380748
-459.0,42,15.417622
-468.0,33,15.450905
-459.0,42,15.491849
-462.0,39,15.525221
-406.0,95,15.609061
-434.0,67,15.667245
-450.0,51,15.714273
-448.0,53,15.767843
-457.0,44,15.809811
-468.0,33,15.841282
