#{"t_start": 1761576844.9446628, "env_id": "None"}
r,l,t
-469.0,32,1.319757
-468.0,33,1.36176
-465.0,36,1.411356
-467.0,34,1.448603
-470.0,31,1.478488
-468.0,33,1.514914
-466.0,35,1.550235
-469.0,32,1.578455
-461.0,40,1.609187
-464.0,37,1.63574
-467.0,34,1.657542
-468.0,33,1.68032
-468.0,33,1.707042
-468.0,33,1.730834
-470.0,31,1.753711
-469.0,32,1.775384
-469.0,32,1.800165
-469.0,32,1.821985
-468.0,33,1.844782
-470.0,31,1.867218
-468.0,33,1.892059
-470.0,31,1.913896
-468.0,33,1.938633
-468.0,33,1.963246
-469.0,32,1.984648
-466.0,35,2.011659
-469.0,32,2.03354
-465.0,36,2.05877
-468.0,33,2.082048
-467.0,34,2.107375
-469.0,32,2.837016
-469.0,32,2.863876
-460.0,41,2.89177
-466.0,35,2.919613
-464.0,37,2.9473
-462.0,39,2.974953
-467.0,34,3.000781
-464.0,37,3.030829
-470.0,31,3.053859
-465.0,36,3.083147
-469.0,32,3.107789
-468.0,33,3.131229
-467.0,34,3.154371
-461.0,40,3.185363
-467.0,34,3.209419
-467.0,34,3.232965
-459.0,42,3.261473
-468.0,33,3.286375
-469.0,32,3.308581
-468.0,33,3.331346
-467.0,34,3.36134
-469.0,32,3.387259
-468.0,33,3.409188
-468.0,33,3.430845
-467.0,34,3.452615
-469.0,32,3.476154
-467.0,34,3.503825
-468.0,33,3.534108
-468.0,33,3.574276
-469.0,32,3.604742
-468.0,33,4.432925
-465.0,36,4.461241
-467.0,34,4.487748
-465.0,36,4.513644
-468.0,33,4.540194
-462.0,39,4.579626
-468.0,33,4.609782
-467.0,34,4.63772
-467.0,34,4.66532
-466.0,35,4.694313
-464.0,37,4.721136
-464.0,37,4.74908
-464.0,37,4.775656
-468.0,33,4.803164
-466.0,35,4.830698
-465.0,36,4.860577
-467.0,34,4.89889
-466.0,35,4.927949
-467.0,34,4.954171
-456.0,45,4.986885
-467.0,34,5.01086
-462.0,39,5.040807
-467.0,34,5.067137
-467.0,34,5.091727
-461.0,40,5.120662
-467.0,34,5.143018
-463.0,38,5.169952
-467.0,34,5.196444
-463.0,38,5.223959
-462.0,39,6.138966
-466.0,35,6.164628
-457.0,44,6.200375
-455.0,46,6.235223
-466.0,35,6.259426
-452.0,49,6.296163
-454.0,47,6.329552
-462.0,39,6.357603
-463.0,38,6.382074
