#{"t_start": 1761572684.9968417, "env_id": "None"}
r,l,t
-96.7,34,2.010411
-96.7,34,2.012583
-96.7,34,2.014935
-96.7,34,2.01708
-96.8,33,2.019214
-97.0,31,2.021173
-96.8,33,2.023809
-96.6,35,2.028651
-96.7,34,2.031645
-96.8,33,2.034049
-96.9,32,2.036364
-96.9,32,2.038409
-96.9,32,2.040721
-96.8,33,2.044799
-96.9,32,2.047027
-96.9,32,2.049247
-96.7,34,2.051525
-96.8,33,2.053547
-97.0,31,2.055383
-96.9,32,2.05855
-96.7,34,2.061977
-96.9,32,2.063894
-96.9,32,2.065903
-96.9,32,2.068626
-96.7,34,2.070772
-96.8,33,2.072846
-96.8,33,2.076256
-97.0,31,2.079562
-96.6,35,2.083415
-96.9,32,2.086702
-96.6,35,2.118747
-96.9,32,2.156493
-96.9,32,2.193907
-96.8,33,2.231534
-96.9,32,2.266434
-96.9,32,2.304006
-96.7,34,2.342172
-96.8,33,2.391384
-96.9,32,2.433497
-96.6,35,2.478157
-96.7,34,2.526439
-96.8,33,2.566736
-96.8,33,2.609209
-96.9,32,2.657202
-97.0,31,2.699794
-96.7,34,2.746713
-96.6,35,2.818804
-96.9,32,2.874924
-96.8,33,2.917825
-96.9,32,2.9585
-96.4,37,2.996594
-96.8,33,3.046875
-96.9,32,3.079569
-96.8,33,3.133516
-96.7,34,3.174233
-96.9,32,3.20418
-96.9,32,3.232734
-96.8,33,3.265303
-96.4,37,3.304534
-96.9,32,3.339158
-96.7,34,3.384546
-97.0,31,3.420985
-96.8,33,3.456896
-96.9,32,3.488998
-96.8,33,3.521579
-96.8,33,3.550994
-96.6,35,3.584227
-96.8,33,3.614368
-96.8,33,3.645784
-96.8,33,3.672198
-96.7,34,3.701681
-97.0,31,3.732176
-96.7,34,3.764063
-96.7,34,3.794538
-96.7,34,3.823175
-96.7,34,3.8526
-96.8,33,3.88254
-96.8,33,3.92191
-96.5,36,3.956749
-96.8,33,3.98799
-96.8,33,4.020612
-96.0,41,4.060168
-96.8,33,4.097345
-97.0,31,4.126555
-96.5,36,4.162306
-96.6,35,4.199121
-96.3,38,4.237491
-96.7,34,4.268669
-96.6,35,4.303895
-97.0,31,4.339493
-96.8,33,4.38115
-96.7,34,4.415821
-96.5,36,4.455388
-96.8,33,4.501056
-95.2,49,4.579284
-96.3,38,4.621138
-96.1,40,4.667398
-96.3,38,4.704526
-96.8,33,4.735597
-96.7,34,4.770364
-96.2,39,4.813666
-97.0,31,4.841645
-96.9,32,4.881093
-96.9,32,4.918958
-96.6,35,4.963089
-96.7,34,5.004454
-96.6,35,5.05457
-96.6,35,5.102317
-96.0,41,5.148134
-96.3,38,5.189861
-96.8,33,5.222751
-95.8,43,5.274529
-96.5,36,5.309633
-96.3,38,5.344262
-96.7,34,5.382521
-96.9,32,5.418435
-96.9,32,5.461805
-96.7,34,5.500879
-96.0,41,5.555731
-96.5,36,5.596864
-96.3,38,5.686526
-96.9,32,5.724985
-96.8,33,5.76477
-96.8,33,5.802021
-96.5,36,5.839553
-96.2,39,5.884571
-96.7,34,5.920075
-96.6,35,5.955992
-96.7,34,5.989228
-96.7,34,6.018337
-96.6,35,6.055616
-97.0,31,6.092337
-96.1,40,6.138552
-96.5,36,6.179909
-96.8,33,6.212756
-96.9,32,6.24536
-96.8,33,6.28096
-96.7,34,6.321296
-95.6,45,6.368521
-96.7,34,6.415058
-96.5,36,6.456224
-96.6,35,6.504346
-96.4,37,6.569417
-96.5,36,6.612942
-96.9,32,6.649293
-96.7,34,6.688176
-96.3,38,6.736869
-96.5,36,6.78375
-96.9,32,6.822444
-96.5,36,6.868301
-96.7,34,6.911253
-96.7,34,6.963218
-96.4,37,7.00832
-96.7,34,7.043726
-95.6,45,7.094259
-96.7,34,7.135436
-96.4,37,7.197498
-96.3,38,7.269511
-96.6,35,7.348908
-96.2,39,7.419792
-94.7,54,7.527888
-96.2,39,7.607824
-96.9,32,7.664036
-96.4,37,7.720573
-96.5,36,7.773266
-96.9,32,7.814386
-96.8,33,7.850025
-96.4,37,7.887456
-96.8,33,7.936601
-96.8,33,7.973275
-96.1,40,8.03809
-95.3,48,8.09875
-96.7,34,8.133723
-96.5,36,8.172056
-96.5,36,8.213562
-96.5,36,8.257288
-96.5,36,8.307098
-96.9,32,8.339082
-96.5,36,8.378426
-96.5,36,8.418746
-96.3,38,8.465775
-96.7,34,8.508979
-96.6,35,8.573749
-96.9,32,8.631176
-96.4,37,8.685224
-96.4,37,8.735919
-96.1,40,8.781335
-94.2,59,8.845743
-96.7,34,8.886944
-96.5,36,8.935767
-96.7,34,8.973145
-95.5,46,9.033243
-93.5,66,9.116508
-96.7,34,9.189585
-95.5,46,9.239983
-96.8,33,9.284136
-96.5,36,9.325532
-95.6,45,9.379665
-96.7,34,9.427878
-96.3,38,9.482844
-96.7,34,9.532664
-96.8,33,9.592431
-96.3,38,9.644379
-96.2,39,9.706095
-94.3,58,9.807854
-96.5,36,9.862687
-96.5,36,9.908781
-96.7,34,9.961741
-96.7,34,10.01149
-96.7,34,10.064863
-96.4,37,10.11201
-96.7,34,10.154423
-96.4,37,10.202007
-96.6,35,10.247193
-95.9,42,10.29721
-96.4,37,10.344682
-96.3,38,10.403464
-96.6,35,10.445833
-96.3,38,10.491267
-96.1,40,10.541654
-96.2,39,10.594662
-96.5,36,10.642636
-96.4,37,10.694546
-95.7,44,10.755854
-97.0,31,10.800143
-95.2,49,10.903615
-95.9,42,10.962075
-95.2,49,11.019322
-96.5,36,11.062345
-95.3,48,11.116202
-96.4,37,11.156411
-96.8,33,11.188899
-92.3,78,11.313311
-96.1,40,11.360192
-96.1,40,11.406778
-95.2,49,11.46433
-95.0,51,11.565495
-94.6,55,11.645676
-95.8,43,11.700693
-96.5,36,11.747063
-93.5,66,11.834756
-96.5,36,11.884898
-95.1,50,11.952311
-96.4,37,12.013263
-96.7,34,12.073693
-94.9,52,12.180135
-95.5,46,12.24199
-96.1,40,12.289501
-94.2,59,12.361998
-97.0,31,12.400923
-93.2,69,12.481383
-91.7,84,12.617059
-94.4,57,12.703431
-93.5,66,12.800033
-96.1,40,12.862231
-97.0,31,12.905507
-95.9,42,12.956804
-93.4,67,13.055254
-91.8,83,13.209749
-97.0,31,13.250521
-91.4,87,13.372032
-97.0,31,13.421445
-97.0,31,13.472634
-91.7,84,13.591373
-95.4,47,13.649446
-97.0,31,13.687958
-90.5,96,14.127379
-97.0,31,14.175362
-97.0,31,14.217693
-97.0,31,14.26676
-92.1,80,14.384418
-97.0,31,14.426363
-97.0,31,14.497956
-97.0,31,14.551993
-91.6,85,14.681364
-93.9,62,14.768099
-93.0,71,14.865882
-97.0,31,14.901717
-90.5,96,15.015105
-97.0,31,15.053325
-97.0,31,15.09333
-92.3,78,15.223662
-97.0,31,15.26587
-91.8,83,15.40401
-97.0,31,15.443478
-97.0,31,15.474946
-97.0,31,15.506368
-97.0,31,15.545413
-97.0,31,15.582975
-97.0,31,15.618579
-97.0,31,15.660739
-97.0,31,15.694916
-97.0,31,15.73299
-97.0,31,15.772005
-97.0,31,15.819706
-97.0,31,15.863141
-97.0,31,15.898773
-92.1,80,15.988664
-97.0,31,16.03106
-97.0,31,16.065324
-97.0,31,16.105304
-93.1,70,16.187821
-91.9,82,16.275757
-97.0,31,16.31188
-97.0,31,16.358669
-97.0,31,16.412599
-97.0,31,16.451761
-97.0,31,16.497924
-95.5,46,16.556875
-97.0,31,16.602823
-97.0,31,16.648194
-97.0,31,16.713598
-97.0,31,16.771456
-97.0,31,16.831941
-97.0,31,16.87083
-93.1,70,16.960603
-97.0,31,16.997652
-97.0,31,17.029952
-97.0,31,17.068218
-97.0,31,17.103234
-97.0,31,17.137821
-94.2,59,17.211913
-97.0,31,17.250358
-97.0,31,17.296929
-91.6,85,17.421095
-90.8,93,17.563776
-97.0,31,17.609153
-97.0,31,17.650463
-93.3,68,17.723634
-97.0,31,17.763663
-97.0,31,17.797096
-93.2,69,17.886669
-97.0,31,17.932332
-97.0,31,17.979895
-97.0,31,18.021163
-97.0,31,18.061545
-97.0,31,18.097474
-97.0,31,18.134768
-93.0,71,18.216948
-97.0,31,18.254389
-97.0,31,18.290648
-97.0,31,18.333699
-97.0,31,18.421775
-97.0,31,18.46545
-97.0,31,18.502147
-97.0,31,18.540989
-97.0,31,18.59242
-97.0,31,18.634904
-92.5,76,18.75664
-93.6,65,18.839387
-97.0,31,18.883316
-97.0,31,18.921698
-93.8,63,19.08651
-97.0,31,19.145821
-97.0,31,19.193188
-94.7,54,19.258704
-97.0,31,19.295471
-97.0,31,19.339956
-94.5,56,19.406886
-97.0,31,19.446182
-97.0,31,19.480017
-97.0,31,19.518528
-97.0,31,19.557061
-97.0,31,19.58933
-97.0,31,19.628537
-97.0,31,19.665476
-93.0,71,19.755224
-97.0,31,19.795597
-92.0,81,19.904271
-97.0,31,19.945731
-97.0,31,19.990261
-97.0,31,20.036056
-97.0,31,20.079209
-97.0,31,20.115067
-91.9,82,20.206187
-97.0,31,20.24022
-97.0,31,20.271927
-97.0,31,20.311152
-97.0,31,20.344392
-97.0,31,20.378279
-97.0,31,20.40594
-97.0,31,20.44097
-90.5,96,20.568867
-97.0,31,20.603725
-97.0,31,20.642002
-92.0,81,20.728358
-97.0,31,20.757054
-97.0,31,20.789971
-97.0,31,20.835875
-97.0,31,20.873776
-97.0,31,20.989537
-94.3,58,21.058944
-97.0,31,21.097272
-97.0,31,21.130689
-91.4,87,21.217413
-90.6,95,21.315054
-97.0,31,21.353037
-97.0,31,21.38893
-93.5,66,21.465319
-97.0,31,21.504673
-97.0,31,21.538689
-97.0,31,21.571322
-91.6,85,21.668723
-97.0,31,21.708778
-97.0,31,21.752323
-97.0,31,21.802747
-97.0,31,21.842657
-97.0,31,21.881413
-97.0,31,21.939795
-97.0,31,21.975145
-97.0,31,22.012609
-97.0,31,22.038874
-97.0,31,22.071209
-97.0,31,22.153234
-90.9,92,22.266354
-97.0,31,22.310684
