#{"t_start": 1761577018.0846298, "env_id": "None"}
r,l,t
-91.4,87,1.859941
-90.5,96,2.077331
-90.5,96,2.300302
-94.2,59,2.426208
-90.5,96,2.638436
-90.5,96,2.860637
-93.0,71,3.045966
-92.7,74,3.266711
-90.5,96,3.509135
-89.9,102,3.914263
-90.5,96,4.168284
-88.9,112,4.451929
-78.0,122,4.73843
-73.9,163,5.142151
-90.5,96,5.398878
-90.5,96,5.624651
-88.4,117,5.925915
-90.5,96,6.181457
-90.5,96,6.397511
-88.2,119,6.659926
-90.5,96,6.936231
-90.5,96,7.153274
-78.0,122,7.483357
-78.0,122,7.766309
-90.5,96,7.98929
-90.5,96,8.201459
-90.5,96,8.462136
-88.6,115,8.726871
-94.0,61,8.864353
-91.3,88,9.063857
-89.8,103,9.299877
-89.5,106,9.543659
-90.5,96,9.757878
-90.5,96,9.973631
-90.5,96,10.229171
-93.0,71,10.399303
-90.5,96,10.646819
-76.1,141,11.015092
-90.2,99,11.248029
-90.5,96,11.462157
-91.3,88,11.650952
-90.5,96,11.858957
-90.5,96,12.061272
-90.5,96,12.281381
-90.5,96,12.48989
-90.0,101,12.713991
-90.5,96,12.94623
-93.6,65,13.101047
-90.5,96,13.352624
-94.5,56,13.465494
-93.2,69,13.652788
-90.5,96,13.865674
-90.5,96,14.068222
-90.5,96,14.281974
-90.5,96,14.543997
-90.5,96,14.757928
-90.5,96,15.00301
-90.5,96,15.245038
-90.5,96,15.478562
-90.1,100,15.693126
-90.5,96,15.899856
-90.5,96,16.115069
-90.5,96,16.392436
-88.2,119,16.643974
-90.5,96,16.911672
-90.5,96,17.110127
-90.5,96,17.301126
-90.5,96,17.527425
-90.5,96,17.745222
-90.5,96,17.969218
-90.5,96,18.175907
-90.4,97,18.393368
-95.0,51,18.494126
-94.5,56,18.615288
-90.5,96,18.859045
-90.5,96,19.066454
-90.5,96,19.311733
-91.2,89,19.525291
-90.5,96,19.723835
-94.5,56,19.858561
-90.5,96,20.084241
-90.5,96,20.328906
-90.5,96,20.530507
-88.7,114,20.772652
-90.8,93,20.993628
-88.1,120,21.268217
-94.5,56,21.399994
-94.5,56,21.520202
-89.3,108,21.768324
-90.5,96,21.977154
-88.5,116,22.249331
-90.5,96,22.455987
-90.5,96,22.664606
-93.3,68,22.809496
-90.5,96,23.031584
-90.1,100,23.246115
-90.5,96,23.468095
-90.5,96,23.762259
-90.5,96,23.971192
-90.5,96,24.195032
-90.5,96,24.418846
