#{"t_start": 1761573077.6086333, "env_id": "None"}
r,l,t
-97.0,31,2.363907
-96.8,33,2.404145
-96.8,33,2.44329
-96.9,32,2.478099
-96.7,34,2.512623
-96.5,36,2.550251
-97.0,31,2.582928
-96.9,32,2.619088
-96.6,35,2.660523
-96.8,33,2.704114
-96.7,34,2.756098
-96.8,33,2.796495
-96.7,34,2.834967
-96.8,33,2.867917
-96.9,32,2.901105
-96.9,32,2.937451
-96.6,35,2.97687
-96.4,37,3.017172
-96.7,34,3.056015
-96.9,32,3.095597
-97.0,31,3.1299
-96.7,34,3.167005
-96.9,32,3.210408
-96.5,36,3.251882
-96.8,33,3.303877
-96.9,32,3.345106
-96.8,33,3.391434
-96.5,36,3.481296
-96.6,35,3.525476
-96.3,38,3.564489
-96.9,32,3.596962
-96.4,37,3.667315
-96.9,32,3.7007
-96.8,33,3.73463
-96.7,34,3.771571
-97.0,31,3.801568
-96.8,33,3.833433
-96.8,33,3.866023
-96.9,32,3.901262
-96.8,33,3.932983
-96.7,34,3.969362
-97.0,31,4.003866
-96.6,35,4.039666
-96.8,33,4.073273
-96.7,34,4.10837
-96.9,32,4.143085
-96.9,32,4.197588
-96.7,34,4.257531
-96.8,33,4.299026
-96.8,33,4.341556
-97.0,31,4.383366
-97.0,31,4.424701
-96.8,33,4.467912
-96.7,34,4.513653
-96.9,32,4.553078
-97.0,31,4.592724
-96.9,32,4.638278
-96.9,32,4.683816
-96.9,32,4.723566
-96.6,35,4.76402
-96.7,34,4.80278
-96.9,32,5.744442
-96.9,32,5.779173
-96.9,32,5.812673
-96.9,32,5.847119
-96.5,36,5.881207
-96.9,32,5.912842
-95.8,43,5.955216
-96.7,34,5.988358
-96.7,34,6.020348
-96.8,33,6.052865
-96.9,32,6.086543
-96.6,35,6.123493
-96.8,33,6.156426
-96.9,32,6.190766
-96.9,32,6.22462
-96.9,32,6.258166
-96.5,36,6.291357
-96.3,38,6.329866
-96.9,32,6.362657
-96.7,34,6.396632
-97.0,31,6.430101
